task_id,dimension,phase,type,priority,effort,order,depends_on,decision_gate,same_as,owner,files,action,verify,status,md_anchor
"A11Y-1","06-i18n-a11y","GD1","viet-lai","P1","M","150","","","","ai","flutter_app/lib/shared/layout/vit_page_layout.dart;flutter_app/test/shared/layout/vit_page_layout_test.dart (moi)","BUOC 1 DA XONG 2026-07-16 (nen tang) - BUOC 2 CHUA LAM, de lai cho lo sau (xem ly do). Them param semanticIdentifier vao VitPageLayout, map Semantics(identifier:), giu semanticLabel rieng. Test widget xac nhan: identifier khong bi phat am chung voi label (Semantics container merge label voi text con - da tu kham pha qua toStringDeep(), phai dung tester.ensureSemantics() + find.bySemanticsLabel(RegExp(...)) khong phai exact string). BUOC 2 DA XONG 2026-07-17. GHI CHU DRIFT PHAM VI: uoc tinh goc '381 call site' hoa ra gom ca cac wrapper ngoai VitPageLayout - audit co-located (script quet balanced-paren + ternary + interpolation-variable) ra 393 site tren 7 widget (VitPageLayout 262 + AdminDashboardPageShell/VitTradeHubScaffold/VitTradeDetailScaffold/VitTradeSimpleShell/VitAutoHidePageScaffold/VitAutoHideHeaderScaffold ~131), roi guardrail moi + grep rong phat hien them tang wrapper thu 3 chua co semanticIdentifier (VitP2PFlowScaffold 15+1, CrossModuleTabbedPageShell 4, VitWalletDetailScaffold 4+3, PredictionsPortfolioPage param + route SC-167) - TONG THUC TE ~420 call site tren 26 module, tat ca da migrate: ma SC-XXX chuyen sang semanticIdentifier (giu nguyen ma, ke ca ternary 2 nhanh nhu SC-137/138 SC-139/140 SC-262/263 SC-327/328 SC-085/086 SC-205/168 SC-402/249 SC-403/251), semanticLabel viet lai thanh mo ta tieng Viet that (Tier A tu title tai cho ~60%, Tier B tu mock repository, Tier C bien tap tu noi dung trang cho man hinh co title tieng Anh/dong). BUOC 1 MO RONG: them param semanticIdentifier (forward 1 dong vao VitPageLayout hoac wire truc tiep vao Semantics doi voi VitAutoHideHeaderScaffold) cho ca 9 wrapper + 1 page param. THUC THI: lo thi diem 16 file (auth/referral/admin) duyet mau truoc, roi Workflow 21 lo song song (11 lo bi chan boi loi classifier tam thoi cua ha tang - khong phai noi dung; retry qua resume + 6 agent truc tiep). Cap nhat dong bo: file test di kem (expectRouteSemanticInFirstViewport so khop CHINH XAC label - ~60 file test), va 2 bang route cung ngoai test/features (page_rhythm_phone_visual_qa_test.dart 40 entry + responsive_visual_qa_matrix_test.dart 33 entry) hop nhat bang script tu xay map SC->label tu chinh source da migrate (73 literal, 1 sot vi regex khong khop 'this.x = ' co khoang trang - sua tay). GUARDRAIL MOI test/quality/no_sc_prefix_in_announced_label_guardrail_test.dart baseline=0 (khong ratchet): quet moi argument semanticLabel: trong lib (string-aware den dau phay top-level de khong nham semanticIdentifier: dung canh), bat ca ternary va dang '$bien TenPage'; ngay lan chay dau da bat dung 3 site ternary sot (deposit/withdraw/fund_lock - wrapper cua chung chi duoc them param sau khi audit chay) - tu chung minh guardrail hoat dong that, khong can dance rieng. FOLLOW-UP GHI NHAN (ngoai scope, khong sua): tool/page_rhythm_screen_rollup.dart _screenIdFromPage doc ma SC tu semanticLabel se fallback ve routeName sau migration - nen doc them semanticIdentifier; vai mock title tieng Anh o data layer (vd 'Chi tiet Bridge' thieu dau, 'P2P Dashboard') la copy drift rieng.","cd flutter_app && flutter test test/shared/layout/vit_page_layout_test.dart test/quality/no_sc_prefix_in_announced_label_guardrail_test.dart test/quality/semantic_label_language_guardrail_test.dart test/quality/page_rhythm_phone_visual_qa_test.dart test/quality/responsive_visual_qa_matrix_test.dart && flutter test (full suite) && flutter analyze","done","§6 › A11Y-1"
"A11Y-2","06-i18n-a11y","GD1","cai-thien","P1","M","151","","","","ai","flutter_app/lib/shared/layout/vit_header_action_button.dart;flutter_app/lib/shared/widgets/vit_icon_button.dart;flutter_app/lib/app/theme/app_spacing.dart;flutter_app/lib/app/theme/app_top_header_tokens.dart;flutter_app/test/quality/tap_target_min_size_guardrail_test.dart (moi);flutter_app/test/shared/layout/vit_header_action_button_test.dart","DA XONG 2026-07-16. Them AppSpacing.minTapTarget=44 (alias AppTopHeaderTokens.minTapTarget), boc InkWell bang ConstrainedBox(minWidth/minHeight:44) + Center(widthFactor:1,heightFactor:1) trong ca 2 primitive. GHI CHU DRIFT quan trong: Center/Align mac dinh GIAN NO lap day constraint bi chan thay vi shrink-wrap con - phat hien 2 loi rieng biet tu hanh vi nay: (1) VitIconButton co 2 Center long nhau (Center ngoai boc SizedBox visual, Center trong o Padding>Center(child) boc Row icon+label) - ca 2 deu can widthFactor/heightFactor:1, thieu Center trong lam bien the 'co label' bi gian rong toi 800px (day toan bo test viewport) thay vi om theo noi dung; loi nay chi lo ra khi bien the co label (SizedBox width:null) - bien the chi-icon an loi vi SizedBox co width so. (2) Assertion >=44 ban dau KHONG phan biet duoc 44 dung voi 800 loi (ca hai deu thoa >=44) - da sua guardrail test them upper-bound (inInclusiveRange(44,52) va lessThan(200)) moi bat duoc loi that. (3) 2 assertion cu trong vit_header_action_button_test.dart (dong 36-39, 69-75) gia dinh tester.getSize == visual size (40/36dp) - da loi thoi vi tap target moi ep footprint tong len 44dp; sua thanh 2 assertion: footprint ngoai = minTapTarget(44), Ink visual ben trong = buttonSize/compactButtonSize (40/36) khong doi. Da lam dance revert-confirm-fail-restore cho ca 2 Center fix. FOLLOW-UP (phat hien khi chay full suite sau khi xong ca 4 task A11Y): shrink-wrap fix lam header action button dung dung kich thuoc 44dp thay vi tran ra chiem khong gian thua nhu truoc - lam lo 3 golden test test/features/home/golden/home_page_golden_test.dart (data/loading/error, header + noi dung dich chuyen vai px). Da xem anh diff xac nhan la cai thien hinh anh dung y (khong phai loi), da chay flutter test --update-goldens de tao lai 3 file goldens/home_page_*.png. FOLLOW-UP 2: cung ly do (2 VitIconButton lon hon trong the metadata cua trang) day noi dung xuong du de test/features/launchpad/launchpad_abi_diff_page_test.dart 'SC-308 expands ABI entry details' tap trung icon thay vi VitCard - dung Explore agent xac minh nguyen nhan (khong phai flaky co san), sua bang tester.ensureVisible(...) truoc tap (dung tinh than da dung o cac test khac trong session), da lam dance revert-confirm-fail-restore.","cd flutter_app && flutter test test/quality/tap_target_min_size_guardrail_test.dart test/shared/layout/vit_header_action_button_test.dart test/shared/layout/vit_header_test.dart test/shared/layout/vit_top_chrome_test.dart test/shared/widgets/vit_cta_icon_button_test.dart test/shared/widgets/vit_offline_banner_test.dart test/features/admin/admin_settings_page_test.dart test/features/home/golden/home_page_golden_test.dart test/features/launchpad/launchpad_abi_diff_page_test.dart && flutter analyze","done","§6 › A11Y-2"
"A11Y-3","06-i18n-a11y","GD1","viet-lai","P1","M","152","","","","ai","flutter_app/lib/app/vit_trade_app.dart;flutter_app/lib/shared/widgets/vit_cta_button.dart;flutter_app/lib/app/theme/spacing/shared_spacing_tokens.dart;flutter_app/test/quality/text_scaling_guardrail_test.dart (moi)","DA XONG 2026-07-16. (1) vit_trade_app.dart: them MaterialApp.router(builder: MediaQuery.withClampedTextScaling(minScaleFactor:1.0, maxScaleFactor:1.3)). (2) vit_cta_button.dart: bo FittedBox(scaleDown), doi SizedBox(height: co dinh) -> ConstrainedBox(minHeight, minWidth) de nut CO THE cao len thay vi ep chu nho lai. GHI CHU DRIFT quan trong: bat clamp 1.3x lam lo 1 loi that co san - the VitCompactProductCard (Home 'recent products') dung VitCard(height: 86 co dinh, contentAlign: center) tran RenderFlex 7px o scale 1.3 vi tieu de+phu de khong con vua; da sua bang cach tang SharedSpacingTokens.homeRecentProductHeight 86->94 (dung tai 3 noi qua 1 token). Loi nay KHONG lien quan A11Y-2, la loi rieng do chinh A11Y-3 clamp lo ra. Luu y: chi sua duoc 1 vi du cu the tim thay qua test - cac VitCard height-co-dinh khac trong app CO THE co rui ro tuong tu, chua audit toan bo (ngoai pham vi task nay). FOLLOW-UP (task rieng, cung ngay): audit toan app cho cung loi. Doi voi 5 file dung 'contentAlign: VitCardContentAlign.center' - chi 1 (Home, da sua) la loi that; 2 file dung 'constraints: minHeight' (khong phai height: co dinh) nen an toan tu kien truc; 1 file (market_screener_filters.dart _PresetScroller) co FittedBox rieng bao ve khoi tran (van con van de rieng 'FittedBox che scale' nhung khong phai RenderFlex overflow); 1 file (Arena quick chip) co du khong gian thua. Vi 'VitCard(height: co dinh)' xuat hien hang tram lan trong app (kiem tra tay tung cai khong kha thi), da viet guardrail moi text_scaling_overflow_sweep_guardrail_test.dart quet TOAN BO ~34 priority route o scale 1.3x tim RenderFlex overflow that su - cach nay tim ra chinh xac 4 loi that con lai: Asset Detail (WalletSpacingTokens.walletAssetStatHeight 52->60), Deposit (_depositSelectorHeight 60->64 trong deposit_page.dart), Arena Home (ArenaSpacingTokens.arenaHomeTemplateExtent 90->98, cap nhat lai 1 assert cu trong arena_home_page_test.dart tu 90->98), Funnel Dashboard (AdminSpacingTokens.adminMetricTileExtent 82->90). Ca 4 la GridView mainAxisExtent hoac VitCard height co dinh + Column noi dung 2 dong. Da lam dance revert-confirm(tat ca 4 loi lai xuat hien dung nhu cu)-restore.","cd flutter_app && flutter test test/quality/text_scaling_guardrail_test.dart test/quality/text_scaling_overflow_sweep_guardrail_test.dart test/quality/responsive_visual_qa_matrix_test.dart test/shared/widgets/vit_cta_icon_button_test.dart test/features/wallet/asset_detail_page_test.dart test/features/wallet/deposit_page_test.dart test/features/arena/arena_home_page_test.dart test/features/admin/funnel_dashboard_test.dart && flutter analyze","done","§6 › A11Y-3"
"A11Y-4","06-i18n-a11y","GD1","cai-thien","P2","M","153","","DEC-i18n (decided: Nhanh A — label tieng Viet inline)","","ai","flutter_app/lib/features/wallet/presentation/widgets/transfer/withdraw_form_sections.dart;withdraw_amount_actions.dart;withdraw_preview_sheet.dart;deposit_page_common.dart;wallet_transfer_asset_amount.dart;flutter_app/lib/features/wallet/presentation/pages/transfer/withdraw_page.dart;flutter_app/lib/features/arena/presentation/widgets/studio/arena_smart_rule_builder_page_basics_fields.dart;arena_smart_rule_builder_page_condition_timing_fields.dart;flutter_app/test/quality/accessibility_semantics_critical_flows_test.dart;flutter_app/test/quality/semantic_label_language_guardrail_test.dart (moi)","DA XONG (lo 1) 2026-07-16. GHI CHU DRIFT: manifest goc ghi 'arena_smart_rule_builder_page_part_02.dart' - file da tach thanh _basics_fields.dart + _condition_timing_fields.dart qua wave restructuring truoc do; da xac minh qua grep. Dich 11 nhan sang tieng Viet: withdraw flow (7 nhan - dia chi nhan rut, so tien rut, dung toan bo so du, xem truoc/huy/xac nhan rut, chon mang rut) + deposit/transfer sibling (2 nhan) + Arena Smart Rule Builder (4 nhan - tieu de, dieu kien thang, mo ta luat, ngay ket thuc). Cap nhat 7 assert trong accessibility_semantics_critical_flows_test.dart. QUYET DINH PHAM VI: dem chinh xac (loai SC-\\d+ id, loai chuoi co dau tieng Viet) cho thay 80 tong so nhung chi 58 la Latin-only that su can dich - dich het 58 trong 1 batch se vuot pham vi task nay (session con DEBT-82 lo 5 phia sau); tao guardrail moi (semantic_label_language_guardrail_test.dart) dang ratchet baseline=58 cho lib/features/** (giong tinh than DEBT-83) de khoa no lai khong tang them, con 58 nhan la no ton dong cho batch sau. LO 2 (task rieng, cung ngay): dich het 58 nhan con lai theo tung thu muc feature (auth 1, earn 7, launchpad 4, markets 1, p2p 24, predictions 3, profile 1, trade 6, trade_copy 3, wallet 8), verify flutter analyze + test feature lien quan sau moi lo. Ha baseline guardrail 58->0 (khong con la ratchet, la zero-violation that su). 3 sua them ngoai danh sach 58 vi tinh nhat quan sibling: p2p_express_page_state.dart 'BÁN NHANH' (da co dau nen khong bi flag nhung van con tieng Anh) + p2p_home_offer_list.dart 2 cai 'Tat ca'/'Xac minh' (cung ly do) - deu doi prefix 'P2P filter'/'P2P express' sang tieng Viet cho dong bo voi sibling. Phat hien 1 false-positive that su cua guardrail: 'mua nhanh' la tieng Viet dung nhung khong dau nen bi flag la 'Latin-only' - sua bang cach doi cau chu (them 'Chon' co dau) thay vi thêm ngoai le rieng. Cap nhat them 2 assert trong accessibility_semantics_critical_flows_test.dart (SC-143: Address label/Wallet address/Paste/Scan/Save; SC-232: P2P payment account/owner). GHI CHU LO HONG guardrail (khong sua, ghi lai trong docstring guardrail): regex chi bat 'semanticLabel:' voi ky tu dau la chu cai - KHONG bat duoc Semantics(label:) truc tiep (vd wallet_address_add_agreement.dart 'Add address to withdrawal whitelist') hoac semanticLabel bat dau bang '${interpolation}' (vd wallet_address_add_selectors.dart 'TRC20 address network'/'USDT address asset') - deu van con tieng Anh, ngoai pham vi 2 batch nay. LO 3 (task rieng, ngay hom sau 2026-07-17): dong 2 lo hong guardrail da ghi o LO 2. Viet lai regex: (1) quet cua so 20 dong sau moi 'Semantics(' tim dong 'label:'/'value:' (bat ca truong hop ternary trai dong), (2) gop semanticLabel:/semanticsLabel: (ca chu thuong + so nhieu - phat hien them 1 param 'semanticsLabel' rieng tren vit_risk_disclaimer_note.dart), (3) tach interpolation (${...}/$ident) truoc khi kiem tra ascii-only de khong bat nham bien Dart (vd '$title. $message' chi con '. ' sau khi tach - khong phai loi that) va van bat dung phan tinh ('${label} risk scenario' -> 'risk scenario' la tieng Anh that). Tim ra 29 vi pham that (21 Semantics(label:) truc tiep + 8 semanticLabel/semanticsLabel bat dau bang interpolation) qua ~36 file (admin 6, cross_module 1, dca 1, p2p 6, predictions 1, trade_terminal 1, wallet 15, trade_copy 1) - dich het, cap nhat dong thoi cac assert test bi anh huong (SC-139/143/150/232, 'Admin dashboards', 'SC-036 Prediction risk calculator', + 2 file test rieng pending_deposits_page_test.dart va withdraw_limits_page_test.dart). Phat hien them 2 truong hop 'tieng Viet khong dau' tu chinh minh dich sai lan dau ('sao', 'setting') - da sua. Ha baseline guardrail ve lai 0 (van la zero-violation, quy mo phat hien rong hon). Con 1 lo hong con lai, GHI trong docstring khong sua: text qua tooltip: (VitIconButton phan anh vao Semantics.label noi bo) khong duoc quet vi can trace vao internal widget, khong phai regex tren source text.","cd flutter_app && flutter test test/quality/accessibility_semantics_critical_flows_test.dart test/quality/semantic_label_language_guardrail_test.dart test/features/arena/arena_smart_rule_builder_page_test.dart test/features/wallet/withdraw_page_test.dart test/features/wallet/deposit_page_test.dart test/features/wallet/transfer_page_test.dart test/features/auth test/features/earn test/features/launchpad test/features/markets/watchlist_page_test.dart test/features/p2p test/features/predictions test/features/profile/settings_page_test.dart test/features/trade test/features/trade_copy test/features/admin test/features/cross_module test/features/dca test/features/trade_terminal test/features/wallet && flutter analyze","done","§6 › A11Y-4"
"DEBT-82","08-no-code","GD1","toi-uu","P2","L","160","DEBT-83,DEBT-84","","","ai","160 file 'String _format*';dich: trade_core/.../trade_formatters.dart, earn/.../earn_formatters.dart, markets/.../market_formatters.dart, profile/.../profile_sub_account_formatters.dart, launchpad/.../launchpad_limit_orders_formatters.dart","DA XONG (lo 5/nhieu, module earn) 2026-07-16. 'Lo 5' hieu la 1 lo ~5 file (dung tinh than '5-10/lo' cua playbook AP-GD1-B14..18), module dau tien theo thu tu uu tien earn->wallet->p2p->trade family->predictions. Doi tuong: 19 file trong earn/ con _format* non-delegating; da xac minh tung ham (khong chi grep ten) truoc khi sua, CHI dich 5 ham la ban sao that su (vote/request/ETH count-voi-thousands-separator va USD-whole voi decimals:0), giu nguyen cac _formatAmount/_formatDate/_formatPercent khac vi la token-quantity/date/conditional-trim formatting khac VitFormat that su (dung tinh than 'KHONG xoa _format* mang copy san pham dac thu'): staking_validator_health_monitor_page_common.dart _formatEth -> VitFormat.count(value.round()); staking_developer_console_page.dart, staking_proposals_page.dart, staking_voting_page.dart _formatInt -> VitFormat.count (xoa ham, moi thay 1 call site); staking_multi_chain_page_common.dart _formatUsd(decimals:0) -> VitFormat.usdWhole (xoa ham, sua 2 call site - 1 o file part khac staking_multi_chain_page_sections.dart phat hien qua flutter analyze). Ha baseline architecture_baseline_guardrails_test.dart 286->281. 158/160 file con lai (14 module khac) la no ton dong cho cac lo sau.","cd flutter_app && flutter test test/features/earn test/quality/architecture_baseline_guardrails_test.dart test/quality/money_copy_guardrail_test.dart && flutter analyze","done","§8 › 8.2"
"ERR-35","03-loi-phuc-hoi","GD2","viet-lai","P1","L","205","STATE-S24,ERR-31","","","ai","flutter_app/lib/features/trade/presentation/controllers/trade_order_controller_models.dart;flutter_app/lib/features/trade/presentation/widgets/hub/trade_page_part_01.dart;docs/05_ARCHITECTURE/decisions/ (ADR moi)","DA XONG 2026-07-17 - ADR-001 tao tai docs/05_ARCHITECTURE/decisions/ (thu muc moi, chua co ADR nao truoc do). DRIFT QUAN TRONG: mock trade repo von DONG BO, KHONG co loadDelay nhu manifest gia dinh -> async-hoa ca 3 method ghi (submitOrder/submitFuturesOrder/submitFuturesLeverage) mot luot theo khuon mock_home_repository (loadDelay 300ms + simulateError; test truyen Duration.zero); MockTradeRepository giu const-ability bang getter _terminal (const ctor Dart khong duoc dung sub-object tu tham so). OfflineFailure marker moi o lib/core/data/. TradeOrderController -> Notifier family (arg qua constructor, Riverpod 3); may trang thai 10 status deu co diem ghi production; mapper chung 10->7 VitHighRiskUiState tai trade_core/presentation/widgets/trade_high_risk_status_ui.dart; panel SC-048 bind status that + CTA loading; widget test nhanh loi moi (o lai trang, khong receipt). BAY da xu ly: autoDispose khong listener trong test reset state (can container.listen). KE HOACH GOC: Chot idiom loi async bang ADR ngan: AsyncNotifier/Notifier + AsyncValue.guard (hoac Result<T,Failure> o domain). Lam trade order submit thanh tham chieu: thay TradeOrderController const-state bang Notifier co submit() async chuyen status ready -> submitting -> success/error + dien errorMessage (tan dung loadDelay cua mock repo); view render submitting (disable + spinner) va nhanh loi (banner/sheet) thay vi gia dinh thanh cong.","cd flutter_app && flutter test test/quality/high_risk_state_primitives_guardrail_test.dart; widget test flow loi: repo nem -> UI hien error state, khong crash, khong dieu huong receipt; flutter test test/quality/high_risk_text_entry_harness_test.dart","done","§3 › 3.5 (= §2 › S2.2 pilot)"
"STATE-S22","02-state","GD2","viet-lai","P1","L","207","ERR-35,STATE-S26","","","ai","flutter_app/lib/features/trade_core/presentation/controllers/trade_read_model.dart;futures/leverage controllers;flutter_app/lib/app/providers/trade_controller_providers.dart","DA XONG 2026-07-17 - futures order + leverage -> Notifier theo ADR-001. DRIFT: (1) leverage family key thu ve String pairId — nac don bay la state trong Notifier (setLeverage sanitize tai nguon), het leak moi-nac-mot-element va het dual-source late int _leverage o leverage_page; (2) TradeMarginController GIU read-model Provider + autoDispose vi KHONG co mutation nao — theo dung chuan S26 vua chot, lech chu dich so cau chu manifest 'margin thanh Notifier'; (3) futures_page: page va form dung CUNG record draft (form thoi tu watch — tranh 2 family member lech); banner thanh cong doc receipt tu state; panel futures + leverage bind status that. Xoa 4 entry allowlist guardrail (ratchet giam). KE HOACH GOC: Mo rong idiom ERR-35 sang futures order + leverage: controller thanh Notifier giu view state mutable, submit()/preview() chuyen trang thai that; noi VitHighRiskStatePanel (da co qua highRiskContractId) vao status thuc thay vi luon ready. 10 trang thai cua TradeHighRiskFlowStatus phai duoc GHI o production, khong con dead branch.","cd flutter_app && flutter test test/quality/high_risk_state_primitives_guardrail_test.dart; unit test chuoi transition ready->submitting->success va ->error + errorMessage khi repo nem","done","§2 › S2.2"
"STATE-S26","02-state","GD2","viet-lai","P2","M","206","ERR-35","","","ai","flutter_app/lib/app/providers/trade_controller_providers.dart;AGENTS.md hoac docs/02_FLUTTER_MIGRATION/ (ghi chuan)","DA XONG 2026-07-17 - AGENTS.md them subsection 'State management / controller pattern' trong muc Architecture (tro ADR-001 + khuon NotificationsStateController/TradeOrderController); guardrail test 3 moi trong state_management_guardrail_test: write-controller (co _repository.submit*/patch*/...) phai qua NotifierProvider, phan giai cross-file sang model class, baseline 11 provider ratchet giam dan (con 9 sau S22). KE HOACH GOC: Chot NotifierProvider/AsyncNotifierProvider la pattern chinh thuc cho moi controller co mutation/async; ha kieu Provider<Controller> const xuong chi read-model thuan; kieu setState-ban-sao bi xoa (thuc thi o STATE-S23). Ghi chuan vao AGENTS.md/docs de review ep tuan thu.","grep xac nhan khong con class controller stateful tao qua Provider( (chi NotifierProvider/AsyncNotifierProvider); cd flutter_app && flutter test test/quality/ (guardrail S24)","done","§2 › S2.6"
"STATE-S25","02-state","GD2","cai-thien","P2","S","216","","","","ai","flutter_app/lib/app/providers/home_controller_providers.dart","DA XONG 2026-07-17 - homeControllerProvider tra AsyncValue<HomeController> qua whenData (het requireValue nem StateError khi doc luc loading); chi 1 consumer (test) nen khong phai sua page nao; test them assertion doc-luc-loading khong no + isLoading true. KE HOACH GOC: Bo requireValue tiem an StateError: cho homeControllerProvider tra AsyncValue<HomeController> (map tu homeSnapshotProvider bang whenData/guard) hoac gop HomeController vao 1 AsyncNotifier de moi consumer xu ly loading/error tuong minh.","cd flutter_app && flutter test test/features/home/home_controller_test.dart (+ test doc provider o trang thai loading khong nem StateError)","done","§2 › S2.5"
"ERR-36","03-loi-phuc-hoi","GD2","viet-lai","P2","M","210","ERR-35","","","ai","flutter_app/lib/features/predictions/presentation/widgets/event/prediction_event_detail_trade_panel.dart;flutter_app/lib/features/predictions/presentation/controllers/predictions_controller.dart","DA XONG 2026-07-17 - PredictionsRepository.submitOrder moi tra Future<String> receiptId ('po-1' la fixture that, receipt page resolve day du); MockPredictionsRepository + loadDelay/simulateError; PredictionEventDetailController -> Notifier family eventId, submitOrder() validation->confirming->submitting->submitted tra receiptId / null khi loi; CTA dong 154 het '() {}', co loading + banner loi duoi CTA; panel SC-030 bind status; 2 no-op phu (market_maker add-liquidity, social binh luan) nhan handler coming-soon minh bach; widget test moi submit Buy -> dieu huong PredictionOrderReceiptPage. KE HOACH GOC: Ap idiom ERR-35: them method submit vao controller/Notifier cua predictions, chuyen PredictionHighRiskFlowStatus ready -> submitting -> submitted, sinh/nhan receipt roi dieu huong prediction_order_receipt_page. Thay onPressed '() {}' (dong 154) bang handler that (disable + spinner khi submitting, banner loi khi fail). Ra soat no-op tuong tu cung feature (vd prediction_market_maker_returns.dart:47).","widget test: bam Buy khi canSubmit -> state submitting -> dieu huong receipt; grep '() {}' cho CTA tai chinh trong features/predictions/presentation = 0","done","§3 › 3.6"
"STATE-S23","02-state","GD2","viet-lai","P1","L","215","STATE-S24,STATE-S26","","","ai",">=18 trang: markets/watchlist_page;wallet/address_book_page;p2p_fraud_prevention/_2fa_settings/_device_management/_suspicious_activity;dca_rebalance_config;savings_notification_preferences;launchpad_webhooks/_gas_tracker/_multisig/_address_book;price_alerts;comparison_tool;arena_blocked_users;advanced_chart;trade_history_export","DA XONG 2026-07-17 - 17 trang (dem thuc te; manifest ghi >=18) migrate sang Notifier tai composition root app/providers theo khuon MarketWatchlistStateController (pilot moi, nhan ban NotificationsStateController): ViewState bat bien + fromSnapshot + copyWith List.unmodifiable, KHONG autoDispose de state giu qua dieu huong. Thuc thi bang 1 pilot + 5 batch agent song song (markets 3, wallet+p2p 5, launchpad 4, earn/dca/arena 3, trade+trade_terminal 2 gom ca advanced_chart ngoai 8 feature goc). Trang chi ref.watch + goi method notifier; ephemeral UI state (tab/search/expanded) giu local co chu dich. 6 test round-trip moi (pump helper tra GoRouter -> mutate -> back -> router.go -> assert state giu). Allowlist dual-source cua guardrail S24 ve RONG va phai giu rong. Write-back repository chua lam (mock chua co API ghi — de GD3/backend). KE HOACH GOC: Go 'hai nguon su that': nang moi collection mutable len NotifierProvider theo khuon NotificationsStateController (notifications_controller_providers.dart:59-106 — build() seed tu repo, method cap nhat state, List.unmodifiable). Trang chi ref.watch + goi method Notifier; bo late List + setState. Them write-back vao repository (hoac Notifier song suot phien). Lam theo lo module: markets -> wallet -> p2p -> launchpad -> earn/dca/arena. (Loai tru otp_page — controller UI hop le.)","test dieu huong: mo trang -> mutate (xoa/favorite) -> context.go sang trang khac -> quay lai -> assert state giu nguyen; guardrail S24 chan tai xuat hien late List seed tu ref.read","done","§2 › S2.3"
"ARCH-A1","01-kien-truc","GD2","viet-lai","P1","L","220","ARCH-A2,ARCH-A6","","","ai","flutter_app/lib/features/trade_core/presentation/controllers/trade_read_model.dart;trade_controller.dart;flutter_app/lib/features/trade_terminal/presentation/pages/tools/*.dart (5 file);flutter_app/lib/features/trade_core/presentation/widgets/trade_product_navigation.dart","DA XONG 2026-07-17 - ca 2 cycle go sach, _allowedCycleEdges RONG + maxTradeCoreSiblingEdges 0. DRIFT QUAN TRONG: 2 file trade_product_navigation KHONG phai ban sao nhu manifest gia dinh (doi chieu byte 1854 vs 4273) — ban trade_core la CONTRACT (class+typedef khong biet route), ban trade la FACTORY biet 4 route; 'hop nhat' = don factory ve file contract trade_core (kernel ho trade giu nav source dung chung), xoa file trade, chuyen huong 12 importer. Cycle 1: xoa 5 dong export sibling khoi 2 barrel (gom ca export controller-models cua trade_terminal von re-export tiep trade_copy/trade_bots — brief goc chua luong); blast radius THAT ~212 file (87 sua truc tiep + ~123 part-file huong theo parent + 3 test), lon hon nhieu so du doan. Canh 1 chieu con lai (trade->trade_terminal data delegate, trade_terminal->bots/copy) da xac minh khong nguoc chieu. tool/ va test/ khong co text-matcher nao tro path cu. KE HOACH GOC: Cycle 1: bo moi export sibling-entity khoi 2 barrel trade_core; entity dung chung nam o leaf trade_core/domain/entities/ chay 1 chieu sibling -> trade_core; trang can entity sibling thi import truc tiep module do (hoac facade o app/providers/, KHONG dat trong trade_core). Cycle 2: hop nhat trade_product_navigation ve ban trade_core (doi chieu noi dung 2 file truoc khi gop), tro 5 trang tool cua trade_terminal sang ban trade_core, cat canh trade_terminal -> trade. Ratchet allowlist ARCH-A2 ve 0.","cd flutter_app && flutter test test/quality/module_dependency_cycle_guardrail_test.dart (0 cycle) && flutter analyze; grep: trade_core khong con export features/(trade_terminal|trade_bots|trade_compliance|trade_copy)/ va trade_terminal khong con import features/trade/","done","§1 › A1"
"PERF-HN2","05-hieu-nang","GD2","cai-thien","P1","L","225","PERF-HN1","","","ai","flutter_app/test/quality/ (3 tai san moi: rebuild harness, scroll benchmark, guardrail static)","DA XONG 2026-07-17 - 3 tai san: (a) trade_order_form_rebuild_harness_test (ProviderObserver dem add/update cua tradeOrderControllerProvider khi go '0'/'0.'/'0.1' — do thuc baseline=1 addCount=2 updateCount=0, ghim addCount<=baseline+3, update==0; luu y '0.' parse trung 0.0 nen cache-hit); (b) market_predictions_scroll_benchmark_test (fling khong exception + so row mount ghim theo do thuc: markets 8<=10, predictions 12<=14, before==after). PHAT HIEN: ca 2 list render bang Column+for trong SingleChildScrollView, KHONG virtualize — benchmark ghim so luong eager lam regression guard; neu list vuot 8/12 item can task PERF rieng chuyen ListView.builder; (c) guardrail family-autoDispose mo rong quet lib/features/**/data/providers — 0 vi pham, khong can tai san moi (drift hop le). KE HOACH GOC: Ba tai san: (a) rebuild harness form dat lenh — pump TradePage, go chuoi ky tu, dem build cua form (hoac ProviderObserver), assert so rebuild/element <= nguong (dat canh high_risk_text_entry_harness_test.dart); (b) scroll benchmark MarketListPage + hub predictions — fling, assert frame budget / so widget dung; (c) guardrail static 'request-keyed family phai autoDispose' (neu STATE-S24 chua phu het) trong architecture_baseline.","cd flutter_app && flutter test test/quality/ (guardrail static + rebuild harness + scroll benchmark); dua vao khoi vt-verify/CI","done","§5 › HN-2"
