feature,route,page,page_file,screen_level,archetype,body_grade,official_density_score,visual_density_risk_score,visual_density_priority,tokenized_fixed_height_refs,tokenized_gap_refs,spacer_refs,manual_content_refs,bottom_inset_refs,root_top_chrome_refs,detail_top_chrome_refs,scroll_refs,grid_or_wrap_refs,root_causes,recommendation,source_files,unresolved_source_files
earn_staking,AppRoutePaths.earnStakingTerms,StakingTermsPage,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_terms_page.dart,L2_detail,detail,A,0,13,P3_LOW_DENSITY_REVIEW,0,0,0,0,5,0,3,1,1,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_terms_page.dart,
earn_staking,AppRoutePaths.earnValidatorHealthMonitor,StakingValidatorHealthMonitorPage,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_validator_health_monitor_page.dart,L2_detail,detail,A,0,13,P3_LOW_DENSITY_REVIEW,0,0,0,0,5,0,3,1,2,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_validator_health_monitor_page.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_validator_health_monitor_page_common.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_validator_health_monitor_page_sections.dart,
earn_staking,AppRoutePaths.earnVoting,StakingVotingPage,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_voting_page.dart,L2_detail,detail,A,0,13,P3_LOW_DENSITY_REVIEW,0,1,0,0,4,0,3,1,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_voting_page.dart,
earn_staking,AppRoutePaths.earnVotingProposalRoute,StakingVotingPage,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_voting_page.dart,L2_detail,detail,A,0,13,P3_LOW_DENSITY_REVIEW,0,1,0,0,4,0,3,1,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_voting_page.dart,
enterprise_states,AppRoutePaths.forceUpdateGate,ForceUpdateGatePage,flutter_app/lib/features/enterprise_states/presentation/pages/force_update_gate_page.dart,L2_detail,detail,B,12,13,P3_LOW_DENSITY_REVIEW,0,0,0,0,0,0,1,1,0,low_signal_monitor,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/enterprise_states/presentation/pages/force_update_gate_page.dart,
enterprise_states,AppRoutePaths.maintenanceGate,MaintenanceGatePage,flutter_app/lib/features/enterprise_states/presentation/pages/maintenance_gate_page.dart,L2_detail,detail,B,12,13,P3_LOW_DENSITY_REVIEW,0,0,0,0,0,0,1,1,0,low_signal_monitor,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/enterprise_states/presentation/pages/maintenance_gate_page.dart,
home,AppRoutePaths.home,HomePage,flutter_app/lib/features/home/presentation/phone/pages/home_page.dart,L0_homeRoot,rootBrand,B,8,13,P3_LOW_DENSITY_REVIEW,0,0,0,0,1,1,0,2,3,root_top_chrome_first_viewport_cost,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/home/presentation/phone/pages/home_page.dart;flutter_app/lib/features/home/presentation/phone/pages/home_page_common.dart;flutter_app/lib/features/home/presentation/phone/pages/home_page_sections.dart;flutter_app/lib/features/home/presentation/phone/pages/home_page_state.dart;flutter_app/lib/features/home/presentation/widgets/phone/home_announcement_banner.dart;flutter_app/lib/features/home/presentation/widgets/phone/home_formatters.dart;flutter_app/lib/features/home/presentation/widgets/phone/home_header.dart;flutter_app/lib/features/home/presentation/widgets/phone/home_market_ticker_section.dart;flutter_app/lib/features/home/presentation/widgets/phone/home_more_products_sheet.dart;flutter_app/lib/features/home/presentation/widgets/phone/home_next_action_section.dart;flutter_app/lib/features/home/presentation/widgets/phone/home_portfolio_card.dart;flutter_app/lib/features/home/presentation/widgets/phone/home_products_section.dart;flutter_app/lib/features/home/presentation/widgets/phone/home_recent_products_section.dart;flutter_app/lib/features/home/presentation/widgets/phone/home_scroll_shell.dart;flutter_app/lib/features/home/presentation/widgets/phone/home_status_content.dart,
launchpad,AppRoutePaths.launchpadBridgeCompare,LaunchpadBridgeComparePage,flutter_app/lib/features/launchpad/presentation/pages/bridge/launchpad_bridge_compare_page.dart,L2_detail,detail,A,0,13,P3_LOW_DENSITY_REVIEW,0,0,0,0,5,0,3,3,1,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/launchpad/presentation/pages/bridge/launchpad_bridge_compare_page.dart;flutter_app/lib/features/launchpad/presentation/widgets/bridge/launchpad_bridge_compare_common.dart;flutter_app/lib/features/launchpad/presentation/widgets/bridge/launchpad_bridge_compare_confirm.dart;flutter_app/lib/features/launchpad/presentation/widgets/bridge/launchpad_bridge_compare_hero.dart;flutter_app/lib/features/launchpad/presentation/widgets/bridge/launchpad_bridge_compare_quick_compare.dart;flutter_app/lib/features/launchpad/presentation/widgets/bridge/launchpad_bridge_compare_route_details.dart;flutter_app/lib/features/launchpad/presentation/widgets/bridge/launchpad_bridge_compare_route_list.dart;flutter_app/lib/features/launchpad/presentation/widgets/bridge/launchpad_bridge_compare_route_metrics.dart,
launchpad,AppRoutePaths.launchpadRebalance,LaunchpadRebalancePage,flutter_app/lib/features/launchpad/presentation/pages/tools/launchpad_rebalance_page.dart,L2_detail,detail,A,0,13,P3_LOW_DENSITY_REVIEW,0,0,0,0,5,0,3,1,2,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/launchpad/presentation/pages/tools/launchpad_rebalance_page.dart;flutter_app/lib/features/launchpad/presentation/widgets/tools/launchpad_rebalance_allocation.dart;flutter_app/lib/features/launchpad/presentation/widgets/tools/launchpad_rebalance_calculations.dart;flutter_app/lib/features/launchpad/presentation/widgets/tools/launchpad_rebalance_deviation.dart;flutter_app/lib/features/launchpad/presentation/widgets/tools/launchpad_rebalance_hero.dart;flutter_app/lib/features/launchpad/presentation/widgets/tools/launchpad_rebalance_strategy.dart;flutter_app/lib/features/launchpad/presentation/widgets/tools/launchpad_rebalance_suggestions.dart;flutter_app/lib/features/launchpad/presentation/widgets/tools/launchpad_rebalance_summary.dart,
launchpad,AppRoutePaths.launchpadSwapAggregator,LaunchpadSwapAggregatorPage,flutter_app/lib/features/launchpad/presentation/pages/bridge/launchpad_swap_aggregator_page.dart,L2_detail,detail,A,0,13,P3_LOW_DENSITY_REVIEW,0,0,0,0,5,0,3,1,3,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/launchpad/presentation/pages/bridge/launchpad_swap_aggregator_page.dart;flutter_app/lib/features/launchpad/presentation/widgets/bridge/launchpad_swap_aggregator_history_settings.dart;flutter_app/lib/features/launchpad/presentation/widgets/bridge/launchpad_swap_aggregator_input.dart;flutter_app/lib/features/launchpad/presentation/widgets/bridge/launchpad_swap_aggregator_quotes.dart,
markets,AppRoutePaths.marketsSectors,MarketSectorsPage,flutter_app/lib/features/markets/presentation/pages/tools/market_sectors_page.dart,L2_detail,detail,A,0,13,P3_LOW_DENSITY_REVIEW,0,0,0,0,6,0,1,2,2,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/markets/presentation/pages/tools/market_sectors_page.dart;flutter_app/lib/features/markets/presentation/widgets/tools/market_sector_card.dart;flutter_app/lib/features/markets/presentation/widgets/tools/market_sector_common.dart;flutter_app/lib/features/markets/presentation/widgets/tools/market_sector_comparison_table.dart;flutter_app/lib/features/markets/presentation/widgets/tools/market_sector_controls.dart;flutter_app/lib/features/markets/presentation/widgets/tools/market_sector_detail_summary.dart;flutter_app/lib/features/markets/presentation/widgets/tools/market_sector_distribution.dart,
markets,AppRoutePaths.marketsSignals,SocialSignalsPage,flutter_app/lib/features/markets/presentation/pages/research/social_signals_page.dart,L2_detail,detail,A,0,13,P3_LOW_DENSITY_REVIEW,0,0,0,0,6,0,1,3,1,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/markets/presentation/pages/research/social_signals_page.dart;flutter_app/lib/features/markets/presentation/pages/research/social_signals_page_performance_widgets.dart;flutter_app/lib/features/markets/presentation/pages/research/social_signals_page_signal_provider_widgets.dart;flutter_app/lib/features/markets/presentation/pages/research/social_signals_page_tabs_widgets.dart;flutter_app/lib/features/markets/presentation/widgets/hub/market_formatters.dart,
notifications,AppRoutePaths.notifications,NotificationsPage,flutter_app/lib/features/notifications/presentation/pages/notifications_page.dart,L1_utilityHub,detail,A,4,13,P3_LOW_DENSITY_REVIEW,0,0,0,0,4,0,1,1,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/notifications/presentation/pages/notifications_page.dart;flutter_app/lib/features/notifications/presentation/widgets/notifications_page_common.dart;flutter_app/lib/features/notifications/presentation/widgets/notifications_page_sections.dart,
p2p_dispute,'/p2p/dispute/:orderId',P2PDisputePage,flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_dispute_page.dart,L2_entityDetail,detail,A,0,13,P3_LOW_DENSITY_REVIEW,0,0,0,0,6,0,1,1,1,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_dispute_page.dart,
p2p_dispute,'/p2p/dispute/resolution/:disputeId',P2PDisputeResolutionPage,flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_dispute_resolution_page.dart,L2_entityDetail,detail,B,12,13,P3_LOW_DENSITY_REVIEW,0,0,0,0,0,0,1,1,0,low_signal_monitor,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_dispute_resolution_page.dart,
p2p_dispute,AppRoutePaths.p2pDisputes,P2PDisputesPage,flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_disputes_page.dart,L2_detail,detail,A,0,13,P3_LOW_DENSITY_REVIEW,0,0,0,0,6,0,1,1,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_disputes_page.dart,
p2p_dispute,AppRoutePaths.p2pInsurancePolicy,P2PInsurancePolicyPage,flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_insurance_policy_page.dart,L2_detail,detail,A,0,13,P3_LOW_DENSITY_REVIEW,0,1,0,0,4,0,3,1,1,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_insurance_policy_page.dart,
p2p_security,AppRoutePaths.p2pAchievements,P2PAchievementsPage,flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_achievements_page.dart,L2_detail,detail,B,8,13,P3_LOW_DENSITY_REVIEW,0,1,0,0,0,0,3,1,0,low_signal_monitor,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_achievements_page.dart;flutter_app/lib/features/p2p_security/presentation/widgets/security/p2p_achievements_page_common.dart;flutter_app/lib/features/p2p_security/presentation/widgets/security/p2p_achievements_page_sections.dart,
p2p_security,AppRoutePaths.p2pReviews,P2PReviewsPage,flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_reviews_page.dart,L2_detail,detail,A,4,13,P3_LOW_DENSITY_REVIEW,0,0,0,0,4,0,1,1,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_reviews_page.dart,
profile,AppRoutePaths.profileActivity,ActivityLogPage,flutter_app/lib/features/profile/presentation/pages/activity_log_page.dart,L2_detail,detail,B,8,13,P3_LOW_DENSITY_REVIEW,0,0,0,0,2,0,1,1,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/profile/presentation/pages/activity_log_page.dart;flutter_app/lib/features/profile/presentation/widgets/activity_log_page_common.dart;flutter_app/lib/features/profile/presentation/widgets/activity_log_page_sections.dart,
referral,'/referral/friend/:friendId',ReferralFriendDetailPage,flutter_app/lib/features/referral/presentation/pages/referral_friend_detail_page.dart,L1_utilityHub,detail,B,12,13,P3_LOW_DENSITY_REVIEW,0,0,0,0,0,0,1,0,0,low_signal_monitor,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/referral/presentation/pages/referral_friend_detail_page.dart,
support,AppRoutePaths.supportAnnouncements,AnnouncementsPage,flutter_app/lib/features/support/presentation/pages/announcements_page.dart,L1_utilityHub,detail,B,12,13,P3_LOW_DENSITY_REVIEW,0,0,0,0,0,0,1,2,1,low_signal_monitor,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/support/presentation/pages/announcements_page.dart;flutter_app/lib/features/support/presentation/widgets/announcements_filters_widgets.dart;flutter_app/lib/features/support/presentation/widgets/announcements_list_widgets.dart,
earn_staking,AppRoutePaths.earnApiDocumentation,StakingApiDocumentationPage,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_api_documentation_page.dart,L2_detail,detail,A,0,12,P3_LOW_DENSITY_REVIEW,3,0,0,0,0,0,3,2,2,low_signal_monitor,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_api_documentation_page.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_api_documentation_auth.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_api_documentation_common.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_api_documentation_endpoints.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_api_documentation_examples.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_api_documentation_overview.dart,
launchpad,AppRoutePaths.launchpadAddressBook,LaunchpadAddressBookPage,flutter_app/lib/features/launchpad/presentation/pages/tools/launchpad_address_book_page.dart,L3_transactionFlow,detail,A,5,12,P3_LOW_DENSITY_REVIEW,0,0,0,0,3,0,1,2,1,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/launchpad/presentation/pages/tools/launchpad_address_book_page.dart;flutter_app/lib/features/launchpad/presentation/widgets/tools/launchpad_address_book_cards.dart;flutter_app/lib/features/launchpad/presentation/widgets/tools/launchpad_address_book_controls.dart;flutter_app/lib/features/launchpad/presentation/widgets/tools/launchpad_address_book_sheet_common.dart,
p2p_marketplace,'/p2p/ad-analytics/:adId',P2PAdAnalyticsPage,flutter_app/lib/features/p2p_marketplace/presentation/pages/ads/p2p_ad_analytics_page.dart,L2_entityDetail,detail,A,1,12,P3_LOW_DENSITY_REVIEW,0,5,0,0,0,0,1,1,1,vertical_gap_accumulation,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/p2p_marketplace/presentation/pages/ads/p2p_ad_analytics_page.dart;flutter_app/lib/features/p2p_marketplace/presentation/widgets/ads/p2p_ad_analytics_breakdown_cards.dart;flutter_app/lib/features/p2p_marketplace/presentation/widgets/ads/p2p_ad_analytics_charts_common.dart;flutter_app/lib/features/p2p_marketplace/presentation/widgets/ads/p2p_ad_analytics_overview_cards.dart,
profile,AppRoutePaths.profileVip,VIPPage,flutter_app/lib/features/profile/presentation/pages/vip_page.dart,L2_detail,detail,A,1,12,P3_LOW_DENSITY_REVIEW,0,1,1,0,2,0,1,1,0,spacer_inside_cards;bottom_nav_inset_pressure,Remove Spacer-driven loose card expansion or replace with fixed compact content rhythm.,flutter_app/lib/features/profile/presentation/pages/vip_page.dart;flutter_app/lib/features/profile/presentation/widgets/profile_vip_benefits.dart;flutter_app/lib/features/profile/presentation/widgets/profile_vip_hero.dart;flutter_app/lib/features/profile/presentation/widgets/profile_vip_overview.dart;flutter_app/lib/features/profile/presentation/widgets/vip_history_widgets.dart,
trade,'/trade/:pairId',TradePage,flutter_app/lib/features/trade/presentation/phone/pages/trade_page.dart,L1_instrumentWorkspace,instrument,B,12,12,P3_LOW_DENSITY_REVIEW,0,0,0,0,0,0,0,0,0,low_signal_monitor,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/trade/presentation/phone/pages/trade_page.dart;flutter_app/lib/features/trade/presentation/phone/pages/trade_page_state.dart;flutter_app/lib/features/trade/presentation/widgets/phone/vit_trade_simple_hero.dart;flutter_app/lib/features/trade/presentation/widgets/phone/vit_trade_simple_order_form.dart;flutter_app/lib/features/trade/presentation/widgets/phone/vit_trade_simple_shell.dart,
trade,AppRoutePaths.trade,TradePage,flutter_app/lib/features/trade/presentation/phone/pages/trade_page.dart,L1_instrumentWorkspace,instrument,B,12,12,P3_LOW_DENSITY_REVIEW,0,0,0,0,0,0,0,0,0,low_signal_monitor,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/trade/presentation/phone/pages/trade_page.dart;flutter_app/lib/features/trade/presentation/phone/pages/trade_page_state.dart;flutter_app/lib/features/trade/presentation/widgets/phone/vit_trade_simple_hero.dart;flutter_app/lib/features/trade/presentation/widgets/phone/vit_trade_simple_order_form.dart;flutter_app/lib/features/trade/presentation/widgets/phone/vit_trade_simple_shell.dart,
trade_bots,AppRoutePaths.tradeBotFaq,BotFaqPage,flutter_app/lib/features/trade_bots/presentation/pages/settings/bot_faq_page.dart,L2_utilityDetail,detail,B,12,12,P3_LOW_DENSITY_REVIEW,0,0,0,0,0,0,0,0,0,low_signal_monitor,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/trade_bots/presentation/pages/settings/bot_faq_page.dart;flutter_app/lib/features/trade_bots/presentation/widgets/settings/bot_faq_cards_help.dart;flutter_app/lib/features/trade_bots/presentation/widgets/settings/bot_faq_search_tabs.dart,
trade_bots,AppRoutePaths.tradeBotTaxReporting,BotTaxReportingPage,flutter_app/lib/features/trade_bots/presentation/pages/settings/bot_tax_reporting_page.dart,L2_utilityDetail,detail,A,0,12,P3_LOW_DENSITY_REVIEW,0,0,0,0,6,0,0,0,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/trade_bots/presentation/pages/settings/bot_tax_reporting_page.dart;flutter_app/lib/features/trade_bots/presentation/widgets/settings/bot_tax_reporting_common.dart;flutter_app/lib/features/trade_bots/presentation/widgets/settings/bot_tax_reporting_notice_year.dart;flutter_app/lib/features/trade_bots/presentation/widgets/settings/bot_tax_reporting_reports.dart;flutter_app/lib/features/trade_bots/presentation/widgets/settings/bot_tax_reporting_summary.dart;flutter_app/lib/features/trade_bots/presentation/widgets/settings/trade_bot_radio_icon.dart,
trade_compliance,'/trade/copy-trading/complaint-tracking/:complaintId',ComplaintTrackingPage,flutter_app/lib/features/trade_compliance/presentation/pages/complaints/complaint_tracking_page.dart,L2_entityDetail,detail,B,12,12,P3_LOW_DENSITY_REVIEW,0,0,0,0,0,0,0,0,1,low_signal_monitor,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/trade_compliance/presentation/pages/complaints/complaint_tracking_page.dart,
trade_compliance,AppRoutePaths.tradeCopyComplaintTrackingBase,ComplaintTrackingPage,flutter_app/lib/features/trade_compliance/presentation/pages/complaints/complaint_tracking_page.dart,L2_detail,detail,B,12,12,P3_LOW_DENSITY_REVIEW,0,0,0,0,0,0,0,0,1,low_signal_monitor,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/trade_compliance/presentation/pages/complaints/complaint_tracking_page.dart,
trade_compliance,AppRoutePaths.tradeMarginLiveMarketDataAnalytics,LiveMarketDataAnalyticsPage,flutter_app/lib/features/trade_compliance/presentation/pages/execution/live_market_data_analytics_page.dart,L2_utilityDetail,detail,B,12,12,P3_LOW_DENSITY_REVIEW,0,0,0,0,0,0,0,0,0,low_signal_monitor,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/trade_compliance/presentation/pages/execution/live_market_data_analytics_page.dart;flutter_app/lib/features/trade_compliance/presentation/widgets/execution/live_market_data_analytics_widgets.dart,
trade_compliance,'${AppRoutePaths.tradeCopyTargetMarketDefinition}/:productId',TargetMarketDefinitionPage,flutter_app/lib/features/trade_compliance/presentation/pages/governance/target_market_definition_page.dart,L2_entityDetail,detail,B,12,12,P3_LOW_DENSITY_REVIEW,0,0,0,0,0,0,0,0,0,low_signal_monitor,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/trade_compliance/presentation/pages/governance/target_market_definition_page.dart,
trade_compliance,AppRoutePaths.tradeCopyTargetMarketDefinition,TargetMarketDefinitionPage,flutter_app/lib/features/trade_compliance/presentation/pages/governance/target_market_definition_page.dart,L2_detail,detail,B,12,12,P3_LOW_DENSITY_REVIEW,0,0,0,0,0,0,0,0,0,low_signal_monitor,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/trade_compliance/presentation/pages/governance/target_market_definition_page.dart,
trade_copy,'/trade/trader/:traderId',TraderProfilePage,flutter_app/lib/features/trade_copy/presentation/pages/provider/trader_profile_page.dart,L2_entityDetail,detail,B,12,12,P3_LOW_DENSITY_REVIEW,0,0,0,0,0,0,0,0,2,low_signal_monitor,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/trade_copy/presentation/pages/provider/trader_profile_page.dart;flutter_app/lib/features/trade_copy/presentation/widgets/provider/trader_profile_chart_painters.dart;flutter_app/lib/features/trade_copy/presentation/widgets/provider/trader_profile_overview.dart;flutter_app/lib/features/trade_copy/presentation/widgets/provider/trader_profile_stats_common.dart;flutter_app/lib/features/trade_copy/presentation/widgets/provider/trader_profile_trades.dart,
wallet,AppRoutePaths.walletBuyCrypto,BuyCryptoTabletPage,flutter_app/lib/features/wallet/presentation/tablet/pages/buy_crypto_tablet_page.dart,L1_utilityHub,detail,A,0,12,P3_LOW_DENSITY_REVIEW,3,0,0,0,1,0,1,1,0,low_signal_monitor,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/wallet/presentation/tablet/pages/buy_crypto_tablet_page.dart;flutter_app/lib/features/wallet/presentation/widgets/assets/wallet_buy_crypto_input_sections.dart;flutter_app/lib/features/wallet/presentation/widgets/assets/wallet_buy_crypto_payment_sections.dart;flutter_app/lib/features/wallet/presentation/widgets/assets/wallet_buy_crypto_result_sections.dart;flutter_app/lib/features/wallet/presentation/widgets/assets/wallet_buy_crypto_sections.dart,
wallet,AppRoutePaths.walletTokenApproval,WalletTokenApprovalPage,flutter_app/lib/features/wallet/presentation/pages/tools/wallet_token_approval_page.dart,L2_detail,detail,A,0,12,P3_LOW_DENSITY_REVIEW,1,3,0,0,1,0,1,2,1,low_signal_monitor,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/wallet/presentation/pages/tools/wallet_token_approval_page.dart;flutter_app/lib/features/wallet/presentation/widgets/tools/wallet_token_active_approvals_tab.dart;flutter_app/lib/features/wallet/presentation/widgets/tools/wallet_token_approval_badges.dart;flutter_app/lib/features/wallet/presentation/widgets/tools/wallet_token_approval_cards.dart;flutter_app/lib/features/wallet/presentation/widgets/tools/wallet_token_approval_common.dart;flutter_app/lib/features/wallet/presentation/widgets/tools/wallet_token_approval_history_tab.dart;flutter_app/lib/features/wallet/presentation/widgets/tools/wallet_token_approval_settings_tab.dart;flutter_app/lib/features/wallet/presentation/widgets/tools/wallet_token_approval_tabs.dart;flutter_app/lib/features/wallet/presentation/widgets/tools/wallet_token_revoke_sheet.dart,
earn_savings,AppRoutePaths.earnSavingsAutoCompound,AutoCompoundSettingsPage,flutter_app/lib/features/earn_savings/presentation/pages/savings/auto_compound_settings_page.dart,L2_utilityDetail,detail,A,0,11,P3_LOW_DENSITY_REVIEW,0,2,0,0,2,0,3,2,1,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/earn_savings/presentation/pages/savings/auto_compound_settings_page.dart;flutter_app/lib/features/earn_savings/presentation/widgets/hub/auto_compound_settings_calculator.dart;flutter_app/lib/features/earn_savings/presentation/widgets/hub/auto_compound_settings_info_sheet.dart;flutter_app/lib/features/earn_savings/presentation/widgets/hub/auto_compound_settings_positions.dart;flutter_app/lib/features/earn_savings/presentation/widgets/hub/auto_compound_settings_settings_sheet.dart;flutter_app/lib/features/earn_savings/presentation/widgets/hub/auto_compound_settings_shared.dart,
earn_savings,AppRoutePaths.earnSavingsReceipt,SavingsReceiptPage,flutter_app/lib/features/earn_savings/presentation/pages/savings/savings_receipt_page.dart,L3_transactionFlow,detail,A,4,11,P3_LOW_DENSITY_REVIEW,0,0,1,0,0,0,3,0,0,spacer_inside_cards,Remove Spacer-driven loose card expansion or replace with fixed compact content rhythm.,flutter_app/lib/features/earn_savings/presentation/pages/savings/savings_receipt_page.dart,
earn_savings,AppRoutePaths.earnSavingsRedeemPos001,SavingsRedeemPage,flutter_app/lib/features/earn_savings/presentation/pages/savings/savings_redeem_page.dart,L3_transactionFlow,detail,A,4,11,P3_LOW_DENSITY_REVIEW,0,0,1,0,0,0,3,0,0,spacer_inside_cards,Remove Spacer-driven loose card expansion or replace with fixed compact content rhythm.,flutter_app/lib/features/earn_savings/presentation/pages/savings/savings_redeem_page.dart,
earn_staking,AppRoutePaths.earnStakingRiskAssessment,StakingRiskAssessmentPage,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_risk_assessment_page.dart,L3_transactionFlow,detail,A,0,11,P3_LOW_DENSITY_REVIEW,0,1,0,0,3,0,3,1,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_risk_assessment_page.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_risk_assessment_page_common.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_risk_assessment_page_sections.dart,
markets,AppRoutePaths.markets,MarketListPage,flutter_app/lib/features/markets/presentation/phone/pages/market_list_page.dart,L1_primaryTabRoot,rootModule,A,0,11,P3_LOW_DENSITY_REVIEW,0,0,0,0,4,1,0,2,3,bottom_nav_inset_pressure;root_top_chrome_first_viewport_cost,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/markets/presentation/phone/pages/market_list_page.dart;flutter_app/lib/features/markets/presentation/widgets/phone/market_list_common.dart;flutter_app/lib/features/markets/presentation/widgets/phone/market_list_discover.dart;flutter_app/lib/features/markets/presentation/widgets/phone/market_list_filters.dart;flutter_app/lib/features/markets/presentation/widgets/phone/market_list_header.dart;flutter_app/lib/features/markets/presentation/widgets/phone/market_list_movers.dart;flutter_app/lib/features/markets/presentation/widgets/phone/market_list_pairs.dart;flutter_app/lib/features/markets/presentation/widgets/phone/market_list_tools.dart,
